,bee_count,plant,year,month,state,county,Latitude,Longitude,scientificName,fips,lat,lon,elevation,mean_temp,wind_speed,wind_gust,precipitation
124,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,20.3,3.8,17.1,0.35
125,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,54.2,7.8,29.9,
126,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6037,34.35892237,-118.21704869999999,305.7,66.3,10.5,31.1,0.0
127,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,63.5,6.3,31.1,0.0
128,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6073,33.03414184,-116.73530500000001,424.6,47.4,5.8,29.9,0.06
129,1,Mertensia sp.,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,59.4,3.7,,0.0
130,1,,2009,8,Wyoming,Sheridan,44.76362,-107.75322,Bombus balteatus,6085,37.231794799999996,-121.69514129999999,40.5,61.9,6.9,24.1,0.0
131,1,,2008,8,Wyoming,Sheridan,44.7603,-107.5948,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,30.5,8.8,27.0,0.0
132,1,,2008,8,Wyoming,Sheridan,44.7603,-107.5948,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,41.5,0.0,,0.0
133,1,,2008,8,Wyoming,Sheridan,44.7595,-107.7414,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,36.8,3.4,,0.0
134,1,,2008,8,Wyoming,Sheridan,44.7595,-107.7414,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,23.3,5.3,19.0,0.0
135,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,53.8,5.2,,0.0
136,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,6037,34.35892237,-118.21704869999999,305.7,59.6,2.0,,0.0
137,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,6059,33.70297871,-117.7610909,16.5,59.2,3.9,,0.0
138,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,6073,33.03414184,-116.73530500000001,424.6,45.5,2.9,,0.0
139,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,6075,37.75512993,-122.44088329999998,2.0,54.1,2.5,,0.0
140,1,Epilobium parviflorum,2010,8,Alaska,Valdez-Cordova,63.193630000000006,-145.6486,Bombus balteatus,6085,37.231794799999996,-121.69514129999999,40.5,59.8,3.4,,0.0
141,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,17031,41.84003921,-87.81671569,186.5,29.5,7.0,20.0,0.0
142,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,25025,42.33390357,-71.07309944,0.0,40.1,0.0,,0.0
143,1,Epilobium latifolium,2010,8,Alaska,North Slope,68.104,-149.5293,Bombus balteatus,48029,29.44894569,-98.52001171,210.3,49.4,7.4,19.0,0.51
144,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,53061,48.04748918,-121.6973065,41.8,42.3,1.6,,0.14
145,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,55025,43.06731606,-89.41815516,264.0,24.2,6.7,18.1,0.0
146,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,4013,33.34881254,-112.4913064,295.1,55.8,4.8,,0.0
147,1,Epilobium parviflorum,2010,8,Alaska,North Slope,68.64699999999999,-149.411,Bombus balteatus,6037,34.35892237,-118.21704869999999,305.7,60.2,0.8,,0.0
