individualCount,associatedTaxa,year,month,state,county,Latitude,Longitude,scientificName
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Cirsium sp.,2009,7,New Mexico,Sandoval,35.962,-106.4897,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,Penstemon sp. (purple),2010,7,California,Nevada,39.32565,-120.17383,Bombus nevadensis
1,NULL,2009,8,Colorado,Larimer,40.36812,-105.61791,Bombus nevadensis
1,Cirsium sp.,2009,8,Colorado,Larimer,40.39179,-105.48759,Bombus nevadensis
1,Cirsium sp.,2009,8,Colorado,Larimer,40.39179,-105.48759,Bombus nevadensis
